col1,col2,cond
arabic_arabic18_A_lowpass.wav,arabic_arabic41_A_lowpass.wav,cond1
arabic_arabic18_A_lowpass.wav,arabic_arabic43_A_lowpass.wav,cond1
arabic_arabic18_A_lowpass.wav,arabic_arabic44_A_lowpass.wav,cond1
arabic_arabic18_A_lowpass.wav,arabic_arabic5_A_lowpass.wav,cond1
arabic_arabic18_A_lowpass.wav,arabic_arabic6_A_lowpass.wav,cond1
arabic_arabic18_A_lowpass.wav,arabic_arabic8_A_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic20_B_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic23_B_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic32_B_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic38_B_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic4_B_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic43_B_lowpass.wav,cond1
arabic_arabic18_B_lowpass.wav,arabic_arabic6_B_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic23_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic32_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic35_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic37_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic38_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic4_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic40_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic41_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic43_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic44_D_lowpass.wav,cond1
arabic_arabic18_D_lowpass.wav,arabic_arabic6_D_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic2_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic21_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic23_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic35_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic37_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic38_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic4_E_lowpass.wav,cond1
